DISTANCE	r2
"1059/29700"	28641	0.016
"490/1059"	569	0.016
"8782/28881"	20099	0.016
"241/29742"	29501	0.016
"23403/28688"	5285	0.015
"27964/28144"	180	0.015
"50/17247"	17197	0.015
"14408/28688"	14280	0.015
"1059/18736"	17677	0.015
"27964/29867"	1903	0.015
"8782/27964"	19182	0.015
"241/28688"	28447	0.015
"241/1397"	1156	0.014
"8782/11083"	2301	0.014
"3037/29742"	26705	0.014
"11083/28144"	17061	0.014
"8782/26144"	17362	0.014
"3037/28688"	25651	0.014
"26144/28144"	2000	0.014
"11916/28144"	16228	0.013
"8782/11916"	3134	0.013
"1059/25692"	24633	0.013
"27964/29864"	1900	0.013
"18060/28883"	10823	0.012
"18060/28882"	10822	0.012
"3037/29540"	26503	0.012
"18060/28881"	10821	0.012
"11083/17858"	6775	0.012
"17858/28881"	11023	0.012
"11083/18060"	6977	0.012
"3037/18998"	15961	0.012
"1397/25563"	24166	0.012
"3037/29870"	26833	0.011
"25563/29742"	4179	0.011
"11083/17747"	6664	0.011
"25563/28688"	3125	0.011
"17747/27964"	10217	0.011
"17747/28881"	11134	0.011
"17858/28883"	11025	0.011
"17747/28882"	11135	0.011
"17858/27964"	10106	0.011
"17858/28882"	11024	0.011
"17747/28883"	11136	0.011
"18060/27964"	9904	0.011
"18998/28144"	9146	0.01
"18877/28144"	9267	0.01
"17747/26144"	8397	0.01
"17858/26144"	8286	0.01
"18060/26144"	8084	0.01
"8782/29540"	20758	0.01
"8782/18998"	10216	0.01
"2416/28144"	25728	0.01
"2416/8782"	6366	0.01
"8782/18877"	10095	0.01
"28144/29540"	1396	0.01
"20268/25563"	5295	0.009
"833/8782"	7949	0.009
"11916/18060"	6144	0.009
"11916/17858"	5942	0.009
"14805/17747"	2942	0.009
"14805/18060"	3255	0.009
"3037/29868"	26831	0.009
"833/28144"	27311	0.009
"14805/17858"	3053	0.009
"3037/29864"	26827	0.009
"50/14805"	14755	0.009
"11916/17747"	5831	0.009
"20268/23403"	3135	0.008
"14408/20268"	5860	0.008
"11083/29864"	18781	0.008
"23403/29870"	6467	0.008
"1059/29864"	28805	0.008
"14408/29870"	15462	0.008
"1059/29868"	28809	0.008
"241/29870"	29629	0.008
"241/20268"	20027	0.008
"17858/29540"	11682	0.007
"17247/28144"	10897	0.007
"14408/29864"	15456	0.007
"17747/18998"	1251	0.007
"2416/17747"	15331	0.007
"833/18060"	17227	0.007
"1059/20268"	19209	0.007
"18060/18877"	817	0.007
"2416/17858"	15442	0.007
"833/17747"	16914	0.007
"11083/29867"	18784	0.007
"18060/18998"	938	0.007
"25563/29868"	4305	0.007
"17858/18877"	1019	0.007
"18060/29540"	11480	0.007
"2416/18060"	15644	0.007
"3037/29867"	26830	0.007
"833/17858"	17025	0.007
"50/26144"	26094	0.007
"8782/17247"	8465	0.007
"23403/29864"	6461	0.007
"241/29864"	29623	0.007
"17747/29540"	11793	0.007
"17858/18998"	1140	0.007
"17747/18877"	1130	0.006
"1059/29870"	28811	0.006
"50/25563"	25513	0.006
"241/29868"	29627	0.006
"8782/29864"	21082	0.006
"25563/29864"	4301	0.006
"17858/28077"	10219	0.006
"17747/24034"	6287	0.006
"17747/28077"	10330	0.006
"28144/29864"	1720	0.006
"3037/20268"	17231	0.006
"25692/28144"	2452	0.006
"17858/26729"	8871	0.006
"18060/26729"	8669	0.006
"17858/24034"	6176	0.006
"18060/24034"	5974	0.006
"11083/29868"	18785	0.006
"23403/29868"	6465	0.006
"14408/29868"	15460	0.006
"18060/28077"	10017	0.006
"8782/25692"	16910	0.006
"17747/26729"	8982	0.006
"25563/29870"	4307	0.006
"490/17747"	17257	0.005
"1059/29867"	28808	0.005
"28883/29553"	670	0.005
"27964/29553"	1589	0.005
"28881/29553"	672	0.005
"3177/17858"	14681	0.005
"490/17858"	17368	0.005
"241/29867"	29626	0.005
"490/18060"	17570	0.005
"17247/18060"	813	0.005
"1397/8782"	7385	0.005
"11083/29553"	18470	0.005
"23403/29867"	6464	0.005
"3177/18060"	14883	0.005
"17247/17858"	611	0.005
"28882/29553"	671	0.005
"25563/29867"	4304	0.005
"17858/18736"	878	0.005
"18060/18736"	676	0.005
"17747/18736"	989	0.005
"14408/29867"	15459	0.005
"17247/17747"	500	0.005
"3177/17747"	14570	0.005
"50/1059"	1009	0.005
"28144/28688"	544	0.004
"17858/25692"	7834	0.004
"14805/29553"	14748	0.004
"18877/29553"	10676	0.004
"1397/28144"	26747	0.004
"17747/29864"	12117	0.004
"18060/29864"	11804	0.004
"28144/29742"	1598	0.004
"17747/25692"	7945	0.004
"50/3037"	2987	0.004
"26144/29553"	3409	0.004
"50/8782"	8732	0.004
"14805/29864"	15059	0.004
"17858/29864"	12006	0.004
"8782/28688"	19906	0.004
"50/28144"	28094	0.004
"11916/29553"	17637	0.004
"8782/29742"	20960	0.004
"18060/25692"	7632	0.004
"14805/29868"	15063	0.003
"6040/17858"	11818	0.003
"18060/29742"	11682	0.003
"14805/29867"	15062	0.003
"50/241"	191	0.003
"11083/28883"	17800	0.003
"18060/28688"	10628	0.003
"17858/29742"	11884	0.003
"50/17747"	17697	0.003
"11083/11916"	833	0.003
"50/11083"	11033	0.003
"24034/29553"	5519	0.003
"50/23403"	23353	0.003
"1397/18060"	16663	0.003
"833/29553"	28720	0.003
"26144/29864"	3720	0.003
"50/14408"	14358	0.003
"18998/29553"	10555	0.003
"28144/29868"	1724	0.003
"11083/27964"	16881	0.003
"17747/28688"	10941	0.003
"6040/17747"	11707	0.003
"50/18060"	18010	0.003
"50/17858"	17808	0.003
"17747/29700"	11953	0.003
"17858/29700"	11842	0.003
"6040/18060"	12020	0.003
"1059/6040"	4981	0.003
"17858/28688"	10830	0.003
"1397/17747"	16350	0.003
"18060/29700"	11640	0.003
"17747/29742"	11995	0.003
"11083/29870"	18787	0.003
"11083/28881"	17798	0.003
"2416/29553"	27137	0.003
"8782/20268"	11486	0.003
"20268/28144"	7876	0.003
"1397/17858"	16461	0.003
"11083/28882"	17799	0.003
"29540/29553"	13	0.003
"26144/28883"	2739	0.002
"2416/29868"	27452	0.002
"6040/25563"	19523	0.002
"18877/28882"	10005	0.002
"18877/29868"	10991	0.002
"24034/29870"	5836	0.002
"25692/29868"	4176	0.002
"14805/27964"	13159	0.002
"8782/14805"	6023	0.002
"11083/26729"	15646	0.002
"26144/27964"	1820	0.002
"18736/29553"	10817	0.002
"25692/29870"	4178	0.002
"28077/29868"	1791	0.002
"2416/29867"	27451	0.002
"17858/20268"	2410	0.002
"2416/28881"	26465	0.002
"26144/28882"	2738	0.002
"11916/28883"	16967	0.002
"11916/27964"	16048	0.002
"28144/29867"	1723	0.002
"3177/11083"	7906	0.002
"3177/29553"	26376	0.002
"27964/28883"	919	0.002
"490/11083"	10593	0.002
"14805/28144"	13339	0.002
"26729/29870"	3141	0.002
"26729/29553"	2824	0.002
"2416/28883"	26467	0.002
"25692/29553"	3861	0.002
"8782/29868"	21086	0.002
"26144/28881"	2737	0.002
"11916/28882"	16966	0.002
"18877/28881"	10004	0.002
"11083/18877"	7794	0.002
"29553/29700"	147	0.002
"11916/28881"	16965	0.002
"26729/29868"	3139	0.002
"26144/29868"	3724	0.002
"29553/29864"	311	0.002
"2416/28882"	26466	0.002
"18877/26144"	7267	0.002
"27964/28881"	917	0.002
"11083/29540"	18457	0.002
"11916/26144"	14228	0.002
"17247/29553"	12306	0.002
"14805/28882"	14077	0.002
"17247/29867"	12620	0.002
"17747/20268"	2521	0.002
"26144/29867"	3723	0.002
"24034/29867"	5833	0.002
"28077/29553"	1476	0.002
"27964/28882"	918	0.002
"833/11083"	10250	0.002
"14805/28883"	14078	0.002
"11083/28077"	16994	0.002
"18877/29867"	10990	0.002
"490/29870"	29380	0.002
"17247/29868"	12621	0.002
"18060/20268"	2208	0.002
"28077/29870"	1793	0.002
"2416/11083"	8667	0.002
"24034/29868"	5834	0.002
"18877/27964"	9087	0.002
"18877/28883"	10006	0.002
"11083/24034"	12951	0.002
"490/29553"	29063	0.002
"28144/29870"	1726	0.002
"3177/29870"	26693	0.002
"29700/29870"	170	0.002
"29553/29868"	315	0.002
"11083/18998"	7915	0.002
"18736/29870"	11134	0.002
"14805/28881"	14076	0.002
"28077/29867"	1790	0.001
"29553/29870"	317	0.001
"25692/29867"	4175	0.001
"28077/28883"	806	0.001
"833/3177"	2344	0.001
"3177/28881"	25704	0.001
"2416/17247"	14831	0.001
"26144/28077"	1933	0.001
"3177/29868"	26691	0.001
"833/28881"	28048	0.001
"11083/25692"	14609	0.001
"18736/18877"	141	0.001
"50/28883"	28833	0.001
"11083/18736"	7653	0.001
"18998/26144"	7146	0.001
"50/29553"	29503	0.001
"11916/17247"	5331	0.001
"17247/29540"	12293	0.001
"490/833"	343	0.001
"6040/28882"	22842	0.001
"17247/18877"	1630	0.001
"26729/29864"	3135	0.001
"28882/29700"	818	0.001
"17247/28881"	11634	0.001
"3177/18877"	15700	0.001
"833/26144"	25311	0.001
"490/27964"	27474	0.001
"11916/25692"	13776	0.001
"490/28883"	28393	0.001
"833/29700"	28867	0.001
"11916/29867"	17951	0.001
"28881/29742"	861	0.001
"28688/28883"	195	0.001
"29742/29868"	126	0.001
"3177/28882"	25705	0.001
"14805/25692"	10887	0.001
"2416/26729"	24313	0.001
"24034/25692"	1658	0.001
"1397/29868"	28471	0.001
"2416/11916"	9500	0.001
"26729/27964"	1235	0.001
"1397/29553"	28156	0.001
"18998/29700"	10702	0.001
"490/2416"	1926	0.001
"3177/29867"	26690	0.001
"17247/26729"	9482	0.001
"18998/27964"	8966	0.001
"24034/28882"	4848	0.001
"3177/14805"	11628	0.001
"490/18998"	18508	0.001
"29742/29870"	128	0.001
"18736/28881"	10145	0.001
"833/28882"	28049	0.001
"833/18736"	17903	0.001
"6040/28883"	22843	0.001
"3177/18998"	15821	0.001
"833/18877"	18044	0.001
"3177/28883"	25706	0.001
"26729/28881"	2152	0.001
"28883/29700"	817	0.001
"18998/28883"	9885	0.001
"17247/28882"	11635	0.001
"18736/29868"	11132	0.001
"833/14805"	13972	0.001
"1059/1397"	338	0.001
"2416/14805"	12389	0.001
"18998/25692"	6694	0.001
"833/17247"	16414	0.001
"11083/20268"	9185	0.001
"18877/28077"	9200	0.001
"27964/29742"	1778	0.001
"29700/29864"	164	0.001
"25692/26144"	452	0.001
"14805/18736"	3931	0.001
"28688/29868"	1180	0.001
"25692/27964"	2272	0.001
"26729/29867"	3138	0.001
"490/29868"	29378	0.001
"2416/18877"	16461	0.001
"18060/29868"	11808	0.001
"29540/29868"	328	0.001
"11916/29868"	17952	0.001
"6040/29868"	23828	0.001
"18998/29867"	10869	0.001
"833/28077"	27244	0.001
"490/26144"	25654	0.001
"1397/14805"	13408	0.001
"6040/11083"	5043	0.001
"20268/29867"	9599	0.001
"833/18998"	18165	0.001
"11916/18736"	6820	0.001
"2416/25692"	23276	0.001
"28077/29864"	1787	0.001
"1397/29870"	28473	0.001
"17247/24034"	6787	0.001
"18998/28077"	9079	0.001
"29540/29700"	160	0.001
"28688/29870"	1182	0.001
"3177/27964"	24787	0.001
"833/25692"	24859	0.001
"18998/29868"	10870	0.001
"24034/26144"	2110	0.001
"26729/28883"	2154	0.001
"28881/29700"	819	0.001
"8782/29867"	21085	0.001
"18736/28883"	10147	0.001
"24034/28881"	4847	0.001
"1397/26144"	24747	0.001
"18736/27964"	9228	0.001
"14805/18998"	4193	0.001
"490/29867"	29377	0.001
"833/2416"	1583	0.001
"3177/29540"	26363	0.001
"28077/28882"	805	0.001
"27964/29700"	1736	0.001
"2416/3177"	761	0.001
"490/11916"	11426	0.001
"490/14805"	14315	0.001
"18877/24034"	5157	0.001
"6040/29870"	23830	0.001
"20268/29868"	9600	0.001
"18998/29870"	10872	0.001
"26729/29540"	2811	0.001
"18736/29540"	10804	0.001
"1397/28882"	27485	0.001
"490/29540"	29050	0.001
"2416/18998"	16582	0.001
"1397/11916"	10519	0.001
"17247/29870"	12623	0.001
"29553/29742"	189	0.001
"25692/28883"	3191	0.001
"6040/23403"	17363	0.001
"2416/24034"	21618	0.001
"28883/29540"	657	0.001
"1397/28881"	27484	0.001
"24034/29864"	5830	0.001
"28882/29742"	860	0.001
"28688/29867"	1179	0.001
"17247/18998"	1751	0.001
"18736/28882"	10146	0.001
"20268/29553"	9285	0.001
"24034/27964"	3930	0.001
"29742/29867"	125	0.001
"18877/29540"	10663	0.001
"29553/29867"	314	0.001
"490/28881"	28391	0.001
"17247/28883"	11636	0.001
"18877/18998"	121	0.001
"2416/29864"	27448	0.001
"25692/29864"	4172	0.001
"490/28882"	28392	0.001
"24034/28883"	4849	0.001
"28883/29742"	859	0.001
"1397/28883"	27486	0.001
"490/18877"	18387	0.001
"18736/29867"	11131	0.001
"11916/26729"	14813	0.001
"3037/6040"	3003	0.001
"14805/29870"	15065	0.001
"6040/29867"	23827	0.001
"2416/18736"	16320	0.001
"2416/27964"	25548	0.001
"14805/26729"	11924	0.001
"17247/29864"	12617	0.001
"490/29864"	29374	0.001
"27964/28077"	113	0.001
"6040/14408"	8368	0.001
"11916/14805"	2889	0.001
"6040/29553"	23513	0.001
"24034/29540"	5506	0.001
"3177/29864"	26687	0.001
"833/29540"	28707	0.001
"18736/26144"	7408	0.001
"20268/28881"	8613	0.001
"28688/28882"	194	0.001
"17247/28077"	10830	0.001
"1397/27964"	26567	0.001
"18877/26729"	7852	0.001
"18998/24034"	5036	0.001
"18736/29864"	11128	0.001
"29700/29867"	167	0.001
"26144/29700"	3556	0.001
"28688/28881"	193	0.001
"50/28882"	28832	0.001
"27964/28688"	724	0.001
"14805/24034"	9229	0.001
"2416/28077"	25661	0.001
"241/6040"	5799	0.001
"28077/28881"	804	0.001
"29700/29868"	168	0.001
"26729/28882"	2153	0.001
"11083/29700"	18617	0.001
"11916/28077"	16161	0.001
"6040/27964"	21924	0.001
"50/28881"	28831	0.001
"26144/29540"	3396	0.001
"25692/28882"	3190	0.001
"3177/26144"	22967	0.001
"28882/29540"	658	0.001
"28077/29540"	1463	0.001
"833/11916"	11083	0.001
"2416/26144"	23728	0.001
"2416/29540"	27124	0.001
"3177/11916"	8739	0.001
"26144/29742"	3598	0.001
"14805/29540"	14735	0.001
"29540/29870"	330	0.001
"833/24034"	23201	0.001
"11916/18877"	6961	0.001
"2416/29700"	27284	0.001
"14805/18877"	4072	0.001
"6040/26144"	20104	0.001
"6040/28881"	22841	0.001
"50/27964"	27914	0.001
"14805/29700"	14895	0.001
"18998/28882"	9884	0.001
"26144/26729"	585	0.001
"1397/29867"	28470	0.001
"25692/28881"	3189	0.001
"11916/24034"	12118	0.001
"833/28883"	28050	0.001
"18998/26729"	7731	0.001
"18998/28881"	9883	0.001
"26144/28688"	2544	0.001
"8782/29870"	21088	0.001
"25692/29540"	3848	0.001
"833/26729"	25896	0.001
"18877/29700"	10823	0.001
"29540/29867"	327	0.001
"17247/27964"	10717	0.001
"28688/29553"	865	0.001
"50/2416"	2366	0.001
"18877/25692"	6815	0.001
"11916/29870"	17954	0.001
"14805/28077"	13272	0.001
"27964/29540"	1576	0.001
"28881/29540"	659	0.001
"18736/18998"	262	0.001
"11916/29700"	17784	0.001
"26144/29870"	3726	0.001
"18998/20268"	1270	0.0
"25692/28688"	2996	0.0
"6040/25692"	19652	0.0
"25692/26729"	1037	0.0
"14805/28688"	13883	0.0
"1397/3177"	1780	0.0
"11916/29742"	17826	0.0
"490/28688"	28198	0.0
"28882/29864"	982	0.0
"20268/28883"	8615	0.0
"50/20268"	20218	0.0
"1397/18998"	17601	0.0
"18736/20268"	1532	0.0
"17747/29870"	12123	0.0
"11916/29864"	17948	0.0
"6040/29742"	23702	0.0
"29540/29742"	202	0.0
"490/29742"	29252	0.0
"50/833"	783	0.0
"29700/29742"	42	0.0
"14805/20268"	5463	0.0
"1397/2416"	1019	0.0
"14805/29742"	14937	0.0
"20268/28882"	8614	0.0
"26729/28688"	1959	0.0
"833/6040"	5207	0.0
"490/25692"	25202	0.0
"50/28077"	28027	0.0
"50/490"	440	0.0
"20268/27964"	7696	0.0
"2416/20268"	17852	0.0
"20268/29870"	9602	0.0
"20268/29864"	9596	0.0
"1397/26729"	25332	0.0
"3177/17247"	14070	0.0
"20268/26729"	6461	0.0
"18998/29864"	10866	0.0
"18877/29870"	10993	0.0
"28881/29868"	987	0.0
"490/17247"	16757	0.0
"6040/18877"	12837	0.0
"833/20268"	19435	0.0
"28883/29864"	981	0.0
"18877/29864"	10987	0.0
"20268/28077"	7809	0.0
"24034/28688"	4654	0.0
"28882/29868"	986	0.0
"1397/18877"	17480	0.0
"1397/29700"	28303	0.0
"25692/29742"	4050	0.0
"17247/29742"	12495	0.0
"490/1397"	907	0.0
"50/18998"	18948	0.0
"50/29867"	29817	0.0
"50/3177"	3127	0.0
"1397/17247"	15850	0.0
"28688/29540"	852	0.0
"50/25692"	25642	0.0
"28077/29742"	1665	0.0
"3177/29742"	26565	0.0
"3177/25692"	22515	0.0
"17247/25692"	8445	0.0
"17247/28688"	11441	0.0
"50/29868"	29818	0.0
"6040/11916"	5876	0.0
"20268/25692"	5424	0.0
"20268/29540"	9272	0.0
"18060/29867"	11807	0.0
"50/24034"	23984	0.0
"6040/28144"	22104	0.0
"11916/20268"	8352	0.0
"833/29742"	28909	0.0
"1397/29540"	28143	0.0
"28882/29867"	985	0.0
"833/1397"	564	0.0
"1397/29864"	28467	0.0
"11916/28688"	16772	0.0
"17747/29867"	12120	0.0
"20268/28688"	8420	0.0
"18736/29742"	11006	0.0
"20268/24034"	3766	0.0
"28882/29870"	988	0.0
"6040/8782"	2742	0.0
"1397/6040"	4643	0.0
"17858/29867"	12009	0.0
"50/29870"	29820	0.0
"1397/20268"	18871	0.0
"1059/28688"	27629	0.0
"18877/29742"	10865	0.0
"6040/17247"	11207	0.0
"26729/29742"	3013	0.0
"2416/29870"	27454	0.0
"1397/18736"	17339	0.0
"833/28688"	27855	0.0
"2416/28688"	26272	0.0
"50/18877"	18827	0.0
"24034/29742"	5708	0.0
"6040/18998"	12958	0.0
"29742/29864"	122	0.0
"6040/29864"	23824	0.0
"17858/29868"	12010	0.0
"18998/28688"	9690	0.0
"28881/29864"	983	0.0
"6040/14805"	8765	0.0
"28883/29870"	987	0.0
"50/18736"	18686	0.0
"28881/29870"	989	0.0
"28883/29868"	985	0.0
"25692/28077"	2385	0.0
"18736/28688"	9952	0.0
"50/1397"	1347	0.0
"28688/29700"	1012	0.0
"20268/26144"	5876	0.0
"28077/28688"	611	0.0
"17247/29700"	12453	0.0
"6040/29540"	23500	0.0
"18998/29742"	10744	0.0
"6040/28688"	22648	0.0
"18060/29870"	11810	0.0
"50/29700"	29650	0.0
"50/28688"	28638	0.0
"18736/25692"	6956	0.0
"490/20268"	19778	0.0
"50/29540"	29490	0.0
"18877/28688"	9811	0.0
"1397/28077"	26680	0.0
"50/26729"	26679	0.0
"3177/20268"	17091	0.0
"50/6040"	5990	0.0
"28883/29867"	984	0.0
"18877/20268"	1391	0.0
"50/29742"	29692	0.0
"1059/29742"	28683	0.0
"2416/6040"	3624	0.0
"28688/29864"	1176	0.0
"6040/20268"	14228	0.0
"29540/29864"	324	0.0
"17247/20268"	3021	0.0
"2416/29742"	27326	0.0
"17858/29870"	12012	0.0
"1397/24034"	22637	0.0
"50/11916"	11866	0.0
"20268/29700"	9432	0.0
"28881/29867"	986	0.0
"25692/29700"	4008	0.0
"50/29864"	29814	0.0
"17247/18736"	1489	0.0
"1397/25692"	24295	0.0
"17747/29868"	12121	0.0
"20268/29742"	9474	0.0
"3177/28688"	25511	0.0
