DISTANCE	LOD
"1397/28688"	27291	60.9
"1397/29742"	28345	60.81
"3037/29553"	26516	59.58
"29864/29867"	3	56.71
"28688/29742"	1054	55.92
"14408/29553"	15145	55.66
"23403/29553"	6150	55.65
"29864/29868"	4	55.04
"241/29553"	29312	54.48
"29864/29870"	6	48.73
"11083/17247"	6164	46.25
"1059/27964"	26905	42.19
"11083/23403"	12320	42.01
"11083/14408"	3325	41.99
"1397/11083"	9686	39.93
"241/11083"	10842	39.33
"3037/11083"	8046	38.89
"241/26144"	25903	36.54
"23403/26144"	2741	36.5
"14408/26144"	11736	36.49
"25563/27964"	2401	35.26
"1059/11916"	10857	34.83
"26729/28144"	1415	34.82
"8782/28077"	19295	34.78
"28077/28144"	67	34.78
"11083/28688"	17605	34.77
"8782/26729"	17947	34.76
"11083/29742"	18659	34.68
"3037/26144"	23107	34.31
"11083/25563"	14480	33.19
"241/14805"	14564	32.7
"14805/23403"	8598	32.67
"14408/14805"	397	32.65
"3177/28144"	24967	32.27
"28144/29700"	1556	32.27
"490/28144"	27654	32.27
"3177/8782"	5605	32.21
"8782/29700"	20918	32.21
"490/8782"	8292	32.21
"25563/28883"	3320	31.97
"25563/28882"	3319	31.97
"18736/28144"	9408	31.0
"8782/18736"	9954	30.95
"3037/28881"	25844	30.81
"3037/14805"	11768	30.71
"3037/28882"	25845	30.24
"3037/28883"	25846	30.24
"11916/25563"	13647	29.14
"3037/27964"	24927	29.06
"14408/28881"	14473	28.8
"23403/28881"	5478	28.79
"241/28881"	28640	28.77
"25563/26144"	581	28.38
"14408/28883"	14475	28.27
"14408/28882"	14474	28.27
"23403/28883"	5480	28.26
"23403/28882"	5479	28.26
"241/28883"	28642	28.24
"241/28882"	28641	28.24
"25563/28881"	3318	28.22
"1059/29540"	28481	27.53
"1059/18998"	17939	27.53
"8782/29553"	20771	27.49
"28144/29553"	1409	27.41
"14408/27964"	13556	27.17
"23403/27964"	4561	27.16
"241/27964"	27723	27.14
"24034/28144"	4110	26.95
"8782/24034"	15252	26.88
"1059/28883"	27824	26.27
"1059/28882"	27823	26.27
"833/1059"	226	25.92
"14805/25563"	10758	25.4
"2416/25563"	23147	23.71
"18877/25563"	6686	23.52
"1059/26144"	25085	23.32
"18998/25563"	6565	23.04
"25563/29540"	3977	23.04
"1059/28881"	27822	22.64
"11916/14408"	2492	22.47
"241/11916"	11675	22.44
"11916/23403"	11487	21.94
"833/25563"	24730	21.7
"1059/14805"	13746	20.88
"241/26729"	26488	20.61
"241/28077"	27836	20.6
"23403/26729"	3326	20.59
"18060/29553"	11493	20.58
"14408/26729"	12321	20.58
"23403/28077"	4674	20.57
"14408/28077"	13669	20.57
"17858/29553"	11695	20.18
"17747/29553"	11806	19.96
"1059/18877"	17818	19.91
"3037/26729"	23692	19.36
"3037/28077"	25040	19.34
"241/490"	249	19.11
"241/3177"	2936	19.11
"490/23403"	22913	19.09
"3177/23403"	20226	19.09
"241/17247"	17006	19.09
"490/14408"	13918	19.09
"241/29700"	29459	19.09
"3177/14408"	11231	19.09
"17247/23403"	6156	19.07
"23403/29700"	6297	19.07
"14408/29700"	15292	19.06
"14408/17247"	2839	19.06
"241/24034"	23793	18.75
"23403/24034"	631	18.73
"14408/24034"	9626	18.72
"241/18736"	18495	18.34
"18736/23403"	4667	18.32
"14408/18736"	4328	18.31
"2416/14408"	11992	18.3
"2416/23403"	20987	18.29
"241/2416"	2175	18.28
"490/3037"	2547	17.95
"3037/3177"	140	17.95
"3037/17247"	14210	17.93
"3037/29700"	26663	17.93
"833/3037"	2204	17.9
"14408/29540"	15132	17.78
"14408/18998"	4590	17.78
"23403/29540"	6137	17.77
"18998/23403"	4405	17.77
"241/29540"	29299	17.76
"241/18998"	18757	17.76
"14408/18877"	4469	17.49
"18877/23403"	4526	17.48
"241/18877"	18636	17.46
"3037/24034"	20997	17.44
"3037/18736"	15699	17.23
"1059/2416"	1357	17.01
"833/14408"	13575	16.74
"833/23403"	22570	16.74
"241/833"	592	16.72
"241/25692"	25451	16.11
"3037/18877"	15840	16.11
"23403/25692"	2289	16.09
"14408/25692"	11284	16.08
"25563/26729"	1166	16.03
"25563/28077"	2514	16.0
"1059/11083"	10024	15.91
"2416/3037"	621	15.69
"3037/25692"	22655	15.13
"3177/25563"	22386	14.86
"490/25563"	25073	14.86
"17247/25563"	8316	14.85
"25563/29700"	4137	14.85
"8782/28881"	20099	14.29
"18736/25563"	6827	14.27
"28144/28881"	737	14.25
"8782/28883"	20101	14.03
"8782/28882"	20100	14.03
"28144/28883"	739	13.99
"28144/28882"	738	13.99
"24034/25563"	1529	13.98
"27964/28144"	180	13.46
"8782/27964"	19182	13.46
"1059/26729"	25670	13.18
"1059/28077"	27018	13.15
"25563/25692"	129	12.53
"8782/26144"	17362	12.46
"26144/28144"	2000	12.42
"1059/3177"	2118	12.23
"490/1059"	569	12.23
"1059/17247"	16188	12.21
"1059/29700"	28641	12.21
"1059/18736"	17677	11.74
"1397/23403"	22006	11.65
"1397/14408"	13011	11.65
"8782/11916"	3134	11.16
"11916/28144"	16228	11.13
"1059/24034"	22975	11.05
"1397/3037"	1640	10.96
"3037/11916"	8879	10.96
"18060/28881"	10821	10.71
"18060/28883"	10823	10.51
"18060/28882"	10822	10.51
"17858/28881"	11023	10.5
"17747/28881"	11134	10.39
"1059/25692"	24633	10.31
"17858/28883"	11025	10.31
"17858/28882"	11024	10.31
"241/29742"	29501	10.23
"23403/29742"	6339	10.22
"14408/29742"	15334	10.22
"17747/28882"	11135	10.2
"17747/28883"	11136	10.2
"241/28688"	28447	10.19
"23403/28688"	5285	10.18
"14408/28688"	14280	10.18
"18060/27964"	9904	10.13
"17858/27964"	10106	9.93
"17747/27964"	10217	9.83
"3037/29742"	26705	9.61
"3037/28688"	25651	9.58
"18060/26144"	8084	9.34
"8782/11083"	2301	9.29
"11083/28144"	17061	9.25
"17858/26144"	8286	9.16
"6040/18736"	12696	9.1
"2416/8782"	6366	9.09
"1397/25563"	24166	9.08
"2416/28144"	25728	9.07
"17747/26144"	8397	9.06
"3177/6040"	2863	8.91
"490/6040"	5550	8.91
"6040/29700"	23660	8.91
"8782/29540"	20758	8.84
"11083/18060"	6977	8.84
"8782/18998"	10216	8.84
"18998/28144"	9146	8.81
"28144/29540"	1396	8.81
"11083/17858"	6775	8.59
"6040/26729"	20689	8.57
"6040/28077"	22037	8.56
"11083/17747"	6664	8.46
"11916/18060"	6144	8.37
"14805/18060"	3255	8.37
"833/8782"	7949	8.32
"833/28144"	27311	8.3
"11916/17858"	5942	8.2
"14805/17858"	3053	8.2
"241/1397"	1156	8.17
"6040/24034"	17994	8.11
"14805/17747"	2942	8.11
"11916/17747"	5831	8.11
"25563/29742"	4179	7.95
"25563/28688"	3125	7.94
"833/29870"	29037	7.66
"833/29868"	29035	7.59
"8782/18877"	10095	7.46
"18877/28144"	9267	7.43
"3037/29540"	26503	7.07
"3037/18998"	15961	7.07
"2416/18060"	15644	6.82
"20268/25563"	5295	6.79
"2416/17858"	15442	6.69
"18060/18998"	938	6.63
"18060/29540"	11480	6.63
"8782/17247"	8465	6.54
"17247/28144"	10897	6.52
"17858/29540"	11682	6.5
"17858/18998"	1140	6.5
"17747/18998"	1251	6.43
"2416/17747"	15331	6.43
"17747/29540"	11793	6.43
"833/18060"	17227	6.24
"833/17858"	17025	6.12
"833/17747"	16914	6.05
"20268/23403"	3135	6.01
"14408/20268"	5860	6.01
"241/20268"	20027	6.01
"18060/24034"	5974	5.86
"17858/24034"	6176	5.75
"833/29867"	29034	5.73
"17747/24034"	6287	5.69
"1059/20268"	19209	5.59
"8782/25692"	16910	5.52
"25692/28144"	2452	5.5
"18060/28077"	10017	5.3
"18060/26729"	8669	5.29
"17858/28077"	10219	5.2
"17858/26729"	8871	5.19
"17747/28077"	10330	5.14
"17747/26729"	8982	5.13
"18060/18877"	817	5.08
"17858/18877"	1019	4.94
"490/18060"	17570	4.91
"3177/18060"	14883	4.91
"17247/18060"	813	4.9
"17747/18877"	1130	4.87
"3177/17858"	14681	4.81
"490/17858"	17368	4.81
"17247/17858"	611	4.81
"490/17747"	17257	4.76
"3177/17747"	14570	4.76
"17247/17747"	500	4.75
"18060/18736"	676	4.71
"27964/29868"	1904	4.66
"17858/18736"	878	4.62
"28881/29553"	672	4.6
"17747/18736"	989	4.57
"28883/29553"	670	4.52
"28882/29553"	671	4.52
"833/29864"	29031	4.46
"27964/29553"	1589	4.35
"27964/29870"	1906	4.28
"18060/25692"	7632	4.14
"17858/25692"	7834	4.06
"17747/25692"	7945	4.01
"26144/29553"	3409	4.01
"1397/8782"	7385	4.0
"1397/28144"	26747	3.99
"3037/29870"	26833	3.74
"14805/29553"	14748	3.59
"11916/29553"	17637	3.59
"11083/29553"	18470	3.58
"3037/20268"	17231	3.57
"8782/28688"	19906	3.5
"3037/29864"	26827	3.5
"28144/28688"	544	3.49
"8782/29742"	20960	3.47
"28144/29742"	1598	3.46
"18877/29553"	10676	3.43
"27964/29867"	1903	3.34
"11083/28881"	17798	3.24
"11083/28883"	17800	3.18
"11083/28882"	17799	3.18
"11083/27964"	16881	3.07
"3037/29868"	26831	3.06
"8782/29864"	21082	3.02
"1397/18060"	16663	3.0
"28144/29864"	1720	3.0
"8782/20268"	11486	3.0
"20268/28144"	7876	2.99
"1397/17858"	16461	2.94
"2416/29553"	27137	2.93
"1397/17747"	16350	2.91
"14408/29864"	15456	2.9
"23403/29864"	6461	2.9
"241/29864"	29623	2.87
"18998/29553"	10555	2.85
"29540/29553"	13	2.85
"6040/18060"	12020	2.81
"27964/29864"	1900	2.79
"6040/17858"	11818	2.76
"1059/29864"	28805	2.74
"6040/17747"	11707	2.73
"833/29553"	28720	2.68
"18060/29742"	11682	2.64
"18060/28688"	10628	2.62
"50/8782"	8732	2.6
"17858/29742"	11884	2.59
"50/28144"	28094	2.59
"14408/29870"	15462	2.58
"17858/28688"	10830	2.57
"23403/29870"	6467	2.56
"17747/29742"	11995	2.56
"17747/28688"	10941	2.54
"11083/11916"	833	2.53
"24034/29553"	5519	2.52
"241/29870"	29629	2.52
"18060/29700"	11640	2.44
"11083/18877"	7794	2.42
"3037/29867"	26830	2.41
"25563/29864"	4301	2.4
"50/17247"	17197	2.39
"1059/29868"	28809	2.39
"17858/29700"	11842	2.36
"50/25563"	25513	2.34
"17747/29700"	11953	2.32
"25563/29868"	4305	2.3
"28077/29553"	1476	2.28
"26729/29553"	2824	2.27
"27964/28881"	917	2.27
"18060/20268"	2208	2.25
"27964/28883"	919	2.23
"27964/28882"	918	2.23
"17858/20268"	2410	2.2
"17747/20268"	2521	2.18
"23403/29868"	6465	2.15
"14408/29868"	15460	2.15
"3177/29553"	26376	2.11
"29553/29700"	147	2.11
"17247/29553"	12306	2.11
"490/29553"	29063	2.11
"241/29868"	29627	2.1
"25563/29870"	4307	2.1
"26144/28881"	2737	2.09
"2416/11083"	8667	2.07
"26144/28883"	2739	2.05
"1059/29870"	28811	2.05
"26144/28882"	2738	2.05
"18736/29553"	10817	2.02
"11083/29540"	18457	2.01
"11083/18998"	7915	2.01
"26144/27964"	1820	1.98
"18060/29864"	11804	1.98
"11083/29864"	18781	1.97
"50/18060"	18010	1.93
"17858/29864"	12006	1.91
"17747/29864"	12117	1.89
"833/11083"	10250	1.89
"50/17858"	17808	1.88
"50/1059"	1009	1.88
"11916/28881"	16965	1.87
"14805/28881"	14076	1.87
"50/17747"	17697	1.85
"11916/28883"	16967	1.84
"11916/28882"	16966	1.84
"14805/28882"	14077	1.84
"14805/28883"	14078	1.84
"11083/29867"	18784	1.8
"18877/28881"	10004	1.79
"50/14805"	14755	1.79
"25692/29553"	3861	1.78
"11083/24034"	12951	1.78
"14805/27964"	13159	1.77
"11916/27964"	16048	1.77
"18877/28882"	10005	1.76
"18877/28883"	10006	1.76
"1059/6040"	4981	1.72
"18877/27964"	9087	1.69
"25563/29867"	4304	1.67
"11916/26144"	14228	1.64
"23403/29867"	6464	1.64
"14408/29867"	15459	1.64
"1059/29867"	28808	1.62
"50/3037"	2987	1.62
"11083/28077"	16994	1.61
"11083/26729"	15646	1.6
"241/29867"	29626	1.6
"11083/29868"	18785	1.6
"18877/26144"	7267	1.56
"2416/28881"	26465	1.53
"2416/28883"	26467	1.5
"2416/28882"	26466	1.5
"3177/11083"	7906	1.49
"490/11083"	10593	1.49
"11083/29700"	18617	1.49
"18998/28881"	9883	1.49
"28881/29540"	659	1.49
"11916/14805"	2889	1.47
"18998/28883"	9885	1.46
"28883/29540"	657	1.46
"28882/29540"	658	1.46
"18998/28882"	9884	1.46
"2416/27964"	25548	1.45
"50/26144"	26094	1.45
"24034/29870"	5836	1.44
"2416/29868"	27452	1.43
"11083/18736"	7653	1.43
"18998/27964"	8966	1.41
"27964/29540"	1576	1.41
"833/28881"	28048	1.4
"11916/18877"	6961	1.4
"14805/18877"	4072	1.4
"833/28882"	28049	1.37
"833/28883"	28050	1.37
"50/23403"	23353	1.35
"50/14408"	14358	1.35
"50/241"	191	1.33
"2416/29867"	27451	1.33
"2416/26144"	23728	1.33
"25692/29870"	4178	1.32
"26729/29870"	3141	1.32
"24034/28881"	4847	1.31
"18998/26144"	7146	1.3
"26144/29540"	3396	1.3
"1397/29553"	28156	1.29
"24034/28882"	4848	1.29
"24034/28883"	4849	1.29
"28077/29870"	1793	1.29
"11083/25692"	14609	1.25
"24034/27964"	3930	1.24
"833/26144"	25311	1.22
"6040/29553"	23513	1.21
"490/29870"	29380	1.2
"3177/29870"	26693	1.2
"2416/11916"	9500	1.19
"26729/28881"	2152	1.19
"2416/14805"	12389	1.19
"28077/28881"	804	1.19
"28077/28883"	806	1.17
"28077/28882"	805	1.17
"26729/28883"	2154	1.16
"14805/18998"	4193	1.16
"26729/28882"	2153	1.16
"14805/29540"	14735	1.16
"24034/26144"	2110	1.15
"2416/18877"	16461	1.14
"29553/29742"	189	1.14
"29700/29870"	170	1.13
"28688/29553"	865	1.13
"18736/29870"	11134	1.13
"26729/27964"	1235	1.12
"27964/28077"	113	1.12
"18877/29540"	10663	1.11
"18877/18998"	121	1.11
"24034/29868"	5834	1.11
"3177/28881"	25704	1.1
"17247/28881"	11634	1.1
"28881/29700"	819	1.1
"490/28881"	28391	1.1
"833/14805"	13972	1.09
"833/11916"	11083	1.09
"28882/29700"	818	1.08
"490/28883"	28393	1.08
"3177/28882"	25705	1.08
"3177/28883"	25706	1.08
"28883/29700"	817	1.08
"17247/28882"	11635	1.08
"17247/28883"	11636	1.08
"490/28882"	28392	1.08
"18736/28881"	10145	1.06
"26144/28077"	1933	1.04
"490/27964"	27474	1.04
"833/18877"	18044	1.04
"3177/27964"	24787	1.04
"18736/28883"	10147	1.04
"27964/29700"	1736	1.04
"18736/28882"	10146	1.04
"17247/27964"	10717	1.04
"14805/24034"	9229	1.03
"26144/26729"	585	1.03
"11916/24034"	12118	1.03
"24034/29867"	5833	1.02
"25692/29868"	4176	1.01
"26729/29868"	3139	1.01
"18736/27964"	9228	1.0
"28077/29868"	1791	0.99
"18877/24034"	5157	0.98
"6040/25563"	19523	0.97
"20268/29553"	9285	0.97
"490/26144"	25654	0.96
"26144/29700"	3556	0.96
"3177/26144"	22967	0.96
"2416/18998"	16582	0.95
"2416/29540"	27124	0.95
"26729/29867"	3138	0.94
"25692/29867"	4175	0.93
"8782/14805"	6023	0.93
"11916/26729"	14813	0.93
"14805/26729"	11924	0.93
"11916/28077"	16161	0.93
"25692/28881"	3189	0.93
"14805/28077"	13272	0.93
"3177/29868"	26691	0.92
"14805/28144"	13339	0.92
"490/29868"	29378	0.92
"18736/26144"	7408	0.92
"28077/29867"	1790	0.91
"28144/29868"	1724	0.91
"25692/28883"	3191	0.91
"25692/28882"	3190	0.91
"50/29553"	29503	0.89
"18877/28077"	9200	0.89
"833/2416"	1583	0.89
"14805/29864"	15059	0.89
"25692/27964"	2272	0.88
"18877/26729"	7852	0.88
"50/11083"	11033	0.87
"18736/29868"	11132	0.87
"833/18998"	18165	0.87
"833/29540"	28707	0.87
"29700/29868"	168	0.87
"11916/17247"	5331	0.86
"3177/14805"	11628	0.86
"490/11916"	11426	0.86
"490/14805"	14315	0.86
"3177/11916"	8739	0.86
"14805/29700"	14895	0.86
"11916/29700"	17784	0.86
"3177/29867"	26690	0.85
"6040/11083"	5043	0.85
"490/29867"	29377	0.85
"2416/24034"	21618	0.84
"14805/29867"	15062	0.83
"14805/18736"	3931	0.83
"11916/18736"	6820	0.83
"17247/18877"	1630	0.82
"3177/18877"	15700	0.82
"490/18877"	18387	0.82
"11083/29870"	18787	0.82
"18877/29700"	10823	0.82
"25692/26144"	452	0.81
"18736/29867"	11131	0.81
"24034/29540"	5506	0.81
"18998/24034"	5036	0.81
"29700/29867"	167	0.81
"18736/18877"	141	0.79
"14805/29868"	15063	0.77
"1397/29870"	28473	0.77
"833/24034"	23201	0.77
"2416/26729"	24313	0.76
"2416/28077"	25661	0.76
"29553/29864"	311	0.75
"18998/28077"	9079	0.74
"28077/29540"	1463	0.74
"11916/25692"	13776	0.73
"14805/25692"	10887	0.73
"26729/29540"	2811	0.73
"18998/26729"	7731	0.73
"28688/29870"	1182	0.71
"11916/29870"	17954	0.71
"2416/17247"	14831	0.7
"490/2416"	1926	0.7
"2416/3177"	761	0.7
"2416/29700"	27284	0.7
"26144/29864"	3720	0.69
"833/28077"	27244	0.69
"833/26729"	25896	0.69
"18877/25692"	6815	0.69
"17247/29540"	12293	0.68
"18998/29700"	10702	0.68
"490/18998"	18508	0.68
"3177/18998"	15821	0.68
"11083/20268"	9185	0.68
"29540/29700"	160	0.68
"3177/29540"	26363	0.68
"490/29540"	29050	0.68
"17247/18998"	1751	0.68
"1397/28881"	27484	0.67
"2416/18736"	16320	0.67
"29742/29870"	128	0.66
"1397/28882"	27485	0.66
"1397/28883"	27486	0.66
"28144/29867"	1723	0.65
"18736/29540"	10804	0.65
"18736/18998"	262	0.65
"833/3177"	2344	0.64
"490/833"	343	0.64
"833/29700"	28867	0.64
"833/17247"	16414	0.64
"2416/29864"	27448	0.64
"1397/27964"	26567	0.64
"6040/28881"	22841	0.63
"6040/28882"	22842	0.62
"833/18736"	17903	0.62
"6040/28883"	22843	0.62
"29553/29868"	315	0.62
"18877/29867"	10990	0.61
"28144/29870"	1726	0.61
"17247/24034"	6787	0.6
"6040/27964"	21924	0.6
"28881/29742"	861	0.59
"1397/29868"	28471	0.59
"11916/29868"	17952	0.59
"2416/25692"	23276	0.59
"1397/26144"	24747	0.59
"18998/29870"	10872	0.59
"28688/28881"	193	0.59
"29540/29870"	330	0.59
"28688/28883"	195	0.58
"8782/29868"	21086	0.58
"28882/29742"	860	0.58
"28883/29742"	859	0.58
"28688/28882"	194	0.58
"18998/25692"	6694	0.57
"25692/29540"	3848	0.57
"27964/29742"	1778	0.56
"26144/29867"	3723	0.56
"27964/28688"	724	0.56
"11916/29867"	17951	0.55
"28688/29868"	1180	0.55
"6040/26144"	20104	0.55
"1397/29867"	28470	0.55
"17247/26729"	9482	0.54
"833/25692"	24859	0.54
"17247/29867"	12620	0.54
"17247/28077"	10830	0.54
"1397/14805"	13408	0.53
"1397/11916"	10519	0.53
"17247/29868"	12621	0.52
"26144/29742"	3598	0.52
"29742/29868"	126	0.51
"24034/25692"	1658	0.51
"28688/29867"	1179	0.51
"26144/28688"	2544	0.51
"18877/29868"	10991	0.5
"3177/17247"	14070	0.5
"490/17247"	16757	0.5
"1397/18877"	17480	0.5
"26144/29868"	3724	0.5
"20268/28881"	8613	0.5
"17247/29700"	12453	0.5
"20268/28883"	8615	0.49
"20268/28882"	8614	0.49
"6040/11916"	5876	0.49
"24034/29864"	5830	0.49
"6040/14805"	8765	0.49
"20268/27964"	7696	0.48
"17247/18736"	1489	0.48
"6040/18877"	12837	0.47
"29742/29867"	125	0.47
"25692/26729"	1037	0.46
"14805/28688"	13883	0.46
"11916/29742"	17826	0.46
"14805/29742"	14937	0.46
"29540/29868"	328	0.46
"18998/29868"	10870	0.46
"11916/28688"	16772	0.46
"25692/28077"	2385	0.46
"26729/29864"	3135	0.45
"28077/29864"	1787	0.45
"18877/29742"	10865	0.44
"20268/26144"	5876	0.44
"18877/28688"	9811	0.44
"1397/2416"	1019	0.43
"490/25692"	25202	0.43
"3177/25692"	22515	0.43
"17247/25692"	8445	0.43
"25692/29864"	4172	0.43
"50/27964"	27914	0.43
"25692/29700"	4008	0.43
"1397/18998"	17601	0.42
"18998/29867"	10869	0.42
"1397/29540"	28143	0.42
"3037/6040"	3003	0.42
"29540/29867"	327	0.42
"490/29864"	29374	0.41
"3177/29864"	26687	0.41
"18736/25692"	6956	0.41
"50/28881"	28831	0.41
"50/28883"	28833	0.4
"50/28882"	28832	0.4
"2416/6040"	3624	0.4
"14805/20268"	5463	0.39
"29700/29864"	164	0.39
"11916/20268"	8352	0.39
"833/1397"	564	0.39
"14805/29870"	15065	0.39
"6040/18998"	12958	0.39
"18736/29864"	11128	0.39
"6040/29540"	23500	0.39
"2416/28688"	26272	0.38
"18877/20268"	1391	0.38
"8782/29870"	21088	0.38
"29540/29742"	202	0.37
"833/6040"	5207	0.37
"8782/29867"	21085	0.37
"18998/29742"	10744	0.37
"1397/24034"	22637	0.37
"28688/29540"	852	0.36
"18998/28688"	9690	0.36
"833/29742"	28909	0.35
"2416/29742"	27326	0.35
"833/28688"	27855	0.34
"1397/26729"	25332	0.33
"1397/28077"	26680	0.33
"50/2416"	2366	0.33
"2416/20268"	17852	0.32
"24034/28688"	4654	0.32
"29553/29867"	314	0.32
"24034/29742"	5708	0.32
"18998/20268"	1270	0.31
"1397/3177"	1780	0.31
"1397/29700"	28303	0.31
"490/1397"	907	0.31
"1397/17247"	15850	0.31
"20268/29540"	9272	0.31
"50/18877"	18827	0.31
"50/833"	783	0.3
"1059/1397"	338	0.3
"1397/18736"	17339	0.3
"26729/28688"	1959	0.29
"833/20268"	19435	0.29
"28077/29742"	1665	0.29
"6040/23403"	17363	0.29
"6040/17247"	11207	0.29
"26729/29742"	3013	0.29
"6040/14408"	8368	0.29
"28077/28688"	611	0.29
"241/6040"	5799	0.29
"50/24034"	23984	0.28
"17247/29870"	12623	0.28
"20268/24034"	3766	0.28
"490/28688"	28198	0.27
"11916/29864"	17948	0.27
"490/29742"	29252	0.27
"29700/29742"	42	0.27
"17247/29742"	12495	0.27
"3177/29742"	26565	0.27
"17247/28688"	11441	0.27
"1397/29864"	28467	0.27
"6040/29867"	23827	0.27
"17247/29864"	12617	0.27
"28688/29700"	1012	0.27
"3177/28688"	25511	0.27
"18736/29742"	11006	0.26
"18736/28688"	9952	0.26
"1397/25692"	24295	0.26
"50/28077"	28027	0.25
"20268/26729"	6461	0.25
"20268/28077"	7809	0.25
"50/26729"	26679	0.25
"6040/25692"	19652	0.24
"6040/28144"	22104	0.24
"6040/8782"	2742	0.24
"25692/28688"	2996	0.23
"50/490"	440	0.23
"6040/29868"	23828	0.23
"25692/29742"	4050	0.23
"50/3177"	3127	0.23
"29742/29864"	122	0.23
"490/20268"	19778	0.23
"3177/20268"	17091	0.23
"28688/29864"	1176	0.23
"17247/20268"	3021	0.23
"20268/29700"	9432	0.23
"18736/20268"	1532	0.22
"50/18736"	18686	0.22
"50/29700"	29650	0.22
"20268/29867"	9599	0.21
"50/25692"	25642	0.21
"6040/29864"	23824	0.21
"29553/29870"	317	0.2
"20268/25692"	5424	0.2
"26144/29870"	3726	0.2
"20268/29864"	9596	0.19
"18998/29864"	10866	0.19
"29540/29864"	324	0.19
"18060/29868"	11808	0.18
"20268/29868"	9600	0.18
"1397/6040"	4643	0.18
"6040/29742"	23702	0.16
"6040/29870"	23830	0.16
"28881/29868"	987	0.15
"17858/29868"	12010	0.15
"6040/28688"	22648	0.15
"50/11916"	11866	0.15
"1397/20268"	18871	0.14
"50/1397"	1347	0.14
"17747/29868"	12121	0.14
"28882/29868"	986	0.13
"28883/29868"	985	0.13
"6040/20268"	14228	0.13
"20268/28688"	8420	0.12
"50/28688"	28638	0.12
"50/6040"	5990	0.12
"50/29742"	29692	0.12
"28881/29867"	986	0.12
"20268/29742"	9474	0.12
"28882/29867"	985	0.11
"28883/29867"	984	0.11
"50/18998"	18948	0.1
"50/29540"	29490	0.1
"50/20268"	20218	0.09
"18060/29867"	11807	0.09
"1059/29742"	28683	0.09
"1059/28688"	27629	0.08
"20268/29870"	9602	0.07
"18877/29864"	10987	0.07
"17858/29867"	12009	0.07
"17747/29867"	12120	0.06
"18060/29870"	11810	0.02
"17747/29870"	12123	0.01
"28881/29870"	989	0.01
"17858/29870"	12012	0.01
"28882/29864"	982	0.0
"18877/29870"	10993	0.0
"28883/29864"	981	0.0
"50/29867"	29817	0.0
"50/29868"	29818	0.0
"28882/29870"	988	0.0
"50/29870"	29820	0.0
"2416/29870"	27454	0.0
"28881/29864"	983	0.0
"28883/29870"	987	0.0
"50/29864"	29814	0.0
