MULTIPLE_1	>MT276324-USA-CA///MT276325-USA-WA
MULTIPLE_19	>MT350270-USA-WA///MT262915-USA-WA
MULTIPLE_20	>NC_045512-CHN///MN908947-CHN
MULTIPLE_21	>MT370845-USA-NY///MT370865-USA-NY///MT370877-USA-NY///MT370897-USA-NY///MT370901-USA-NY///MT370912-USA-NY///MT370920-USA-NY///MT371001-USA-NY///MT371008-USA-NY///MT371009-USA-NY///MT371013-USA-NY///MT371028-USA-NY
MULTIPLE_22	>MT374104-TWN///MT370518-TWN
MULTIPLE_23	>MT370933-USA-NJ///MT370939-USA-NY///MT370984-USA-NY
MULTIPLE_24	>MT344955-USA-OH///MT344956-USA-OH///MT344958-USA-PA
MULTIPLE_25	>MT434800-USA-NY///MT350274-USA-WA///MT350279-USA-WA///MT350280-USA-WA///MT325591-USA-NC///MT325609-USA-UT///MT262900-USA-WA///MT262901-USA-WA///MT262905-USA-WA///MT262907-USA-WA///MT262910-USA-WA///MT262911-USA-WA///MT262912-USA-WA///MT262913-USA-WA///MT262914-USA-WA///MT262916-USA-WA
MULTIPLE_26	>MT434790-USA-NY///MT434794-USA-NY///MT434795-USA-NY///MT434806-USA-NY///MT434810-USA-NY///MT434812-USA-NY///MT380731-USA
MULTIPLE_27	>MT370854-USA-NY///MT370870-USA-NY
MULTIPLE_28	>MT371571-CZE///MT371573-CZE///MT371574-CZE
MULTIPLE_29	>MT365028-HKG///MT114414-HKG///MT114415-HKG
MULTIPLE_30	>MT434784-USA-NY///MT434814-USA-NY
MULTIPLE_31	>MT350263-USA-WA///MT350264-USA-WA///MT350265-USA-WA///MT350266-USA-WA///MT350267-USA-WA///MT350272-USA-WA///MT350273-USA-WA///MT350276-USA-WA///MT350278-USA-WA///MT262896-USA-WA///MT262897-USA-WA///MT262898-USA-WA///MT262902-USA-WA///MT262903-USA-WA///MT262904-USA-WA///MT262906-USA-WA///MT262908-USA-WA///MT262909-USA-WA
MULTIPLE_32	>MT276329-USA-FL///MT276330-USA-FL
MULTIPLE_33	>MT325595-USA-NH///MT304484-USA-NH///MT304485-USA-NH
MULTIPLE_34	>MT292571-ESP///MT233523-ESP-Valencia
MULTIPLE_35	>MT370837-USA-NY///MT370875-USA-NY///MT370998-USA-NY///MT371000-USA-NY///MT371023-USA-NY
MULTIPLE_36	>MT325592-USA-NE///MT325593-USA-NE
MULTIPLE_37	>MT434793-USA-NY///MT434798-USA-NY///MT434805-USA-NY
MULTIPLE_38	>MT027062-USA-CA///MT027063-USA-CA
MULTIPLE_39	>MT439279-USA-MI///MT439296-USA-MI
MULTIPLE_40	>MT020880-USA-WA///MT020881-USA-WA///MN985325-USA
MULTIPLE_41	>MT252699-USA-WA///MT252740-USA-WA
MULTIPLE_42	>MT326066-USA///MT326067-USA
MULTIPLE_43	>MT135041-CHN-Beijing///MT135042-CHN-Beijing///MT135044-CHN-Beijing
MULTIPLE_44	>MT385433-USA-CA///MT258378-USA-San Francisco-CA
MULTIPLE_45	>MT325598-USA-OH///MT325605-USA-RI///MT325627-USA-NY///MT304486-USA-NY
MULTIPLE_46	>MT325603-USA-PA///MT325611-USA-VA
MULTIPLE_47	>MT434788-USA-NY///MT434801-USA-NY
